,Model,MSE,MAE,R2,MAPE,Directional_Accuracy,Note
Linear Regression,Linear Regression,0.2960469194887399,0.40786434685294637,0.0021527432851076167,73060.21905640812,49.18351033458947,
Random Forest,Random Forest,0.29564640318242036,0.40698470419429966,0.003502712061072999,45316.99642742911,61.379467854287995,
XGBoost,XGBoost,0.31759148689541644,0.4247132196642918,-0.0704647577548887,519552.36486464273,52.28959689391344,
LSTM,LSTM,,,,,,Not trained yet
