,Model,MSE,MAE,R2,MAPE,Directional_Accuracy,Note
Linear Regression,Linear Regression,2.188314616575639,0.5641678091827609,-10.39573503280147,82202.88288071667,50.028548589699675,
Random Forest,Random Forest,0.19826074011273725,0.33666136811039826,-0.0324506561434712,79478.08046648685,54.77903391572456,
XGBoost,XGBoost,0.20126616847962736,0.33816937041422196,-0.04810154339237127,37290.8897989254,54.43645083932853,
LSTM,LSTM,,,,,,Not trained yet
