,Model,MSE,MAE,R2,MAPE,Directional_Accuracy,Note
Linear Regression,Linear Regression,0.806016185245916,0.6849484112120026,0.0023166638117659843,40965914.12977454,69.4410936871733,
Random Forest,Random Forest,0.8090252123520026,0.6851934873765203,-0.001407896881721049,31382345.256149303,57.378367511057505,
XGBoost,XGBoost,0.8219274278006207,0.6916645069493271,-0.017378203171624307,71735805.50714064,54.74467229593888,
LSTM,LSTM,,,,,,Not trained yet
