,Model,MSE,MAE,R2,MAPE,Directional_Accuracy,Note
Linear Regression,Linear Regression,0.41997675969273857,0.47544620450528413,-0.003530543052144175,3357327.2280037925,66.17563092383236,
Random Forest,Random Forest,0.4189198087405441,0.4745246258107411,-0.0010049686279516301,1113609.6189778934,62.16740892999886,
XGBoost,XGBoost,0.42236089612408706,0.47574216512275885,-0.009227414777646104,4554625.177456884,59.64371360054813,
LSTM,LSTM,,,,,,Not trained yet
