,Model,MSE,MAE,R2,MAPE,Directional_Accuracy,Note
Linear Regression,Linear Regression,0.2914633817829163,0.4041229175302117,-0.007862428785475384,7284992.987304284,50.91926458832934,
Random Forest,Random Forest,0.2920900733783037,0.40419356536579604,-0.01002948973688178,2305480.9941724,58.05641201324655,
XGBoost,XGBoost,0.30246390012264024,0.4109116178645493,-0.045901543901592845,9388811.865943467,54.42503140344866,
LSTM,LSTM,,,,,,Not trained yet
